# Time-averaged data for fix amsd
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4]
507 0.00896027 0.00915965 0.00900258 0.0271225
508 0.00896465 0.00916425 0.00900596 0.0271349
509 0.00896891 0.00916874 0.00900921 0.0271469
510 0.00897304 0.00917312 0.00901234 0.0271585
511 0.00897704 0.0091774 0.00901535 0.0271698
512 0.00898091 0.00918157 0.00901824 0.0271807
513 0.00898465 0.00918564 0.009021 0.0271913
514 0.00898826 0.00918962 0.00902364 0.0272015
515 0.00899172 0.00919349 0.00902617 0.0272114
516 0.00899505 0.00919727 0.00902858 0.0272209
517 0.00899823 0.00920095 0.00903087 0.0272301
518 0.00900127 0.00920454 0.00903306 0.0272389
519 0.00900416 0.00920804 0.00903513 0.0272473
520 0.00900691 0.00921145 0.00903709 0.0272555
521 0.00900951 0.00921478 0.00903895 0.0272632
522 0.00901196 0.00921802 0.00904071 0.0272707
523 0.00901427 0.00922118 0.00904237 0.0272778
